directory,subjectid,seqid,session,reorganization_date,reorganization_time,reorganization_status,error
COV210,COV210,C210,1.0,2025-02-19,11:55:01.056925,success,
EX034_COV270,EX034_COV270,,,2025-02-19,11:55:01.056853,fail,Directory name translated to an invalid SubjectID
EX103_COV375,EX103_COV375,,,2025-02-19,11:55:01.056866,fail,Directory name translated to an invalid SubjectID
COV376,COV376,C376,1.0,2025-02-19,11:55:01.057178,success,
COV_R028,COV_R028,C028,2.0,2025-02-19,11:55:01.057235,success,
EX068_AA_R356_L,EX068_AA_R356_L,,,2025-02-19,11:55:01.057114,fail,Directory name translated to an invalid SubjectID
EX099_COV_R273,EX099_COV_R273,,,2025-02-19,11:55:01.057296,fail,Directory name translated to an invalid SubjectID
COV195,COV195,C195,1.0,2025-02-19,11:55:01.057248,success,
COV_R001,COV_R001,C001,2.0,2025-02-19,11:55:01.057391,success,
COV131,COV131,C131,1.0,2025-02-19,11:55:01.057520,success,
COV242,COV242,C242,1.0,2025-02-19,11:55:01.057743,success,
EX112_COV386,EX112_COV386,,,2025-02-19,11:55:01.057688,fail,Directory name translated to an invalid SubjectID
COV_R176,COV_R176,C176,2.0,2025-02-19,11:55:01.057626,success,
COV227,COV227,C227,1.0,2025-02-19,11:55:01.057954,success,
COV182,COV182,C182,1.0,2025-02-19,11:55:01.057987,success,
EX059_COV299,EX059_COV299,,,2025-02-19,11:55:01.057971,fail,Directory name translated to an invalid SubjectID
COV349,COV349,C349,1.0,2025-02-19,11:55:01.058110,success,
AA_5R248_L,AA_5R248_L,A248,6.0,2025-02-19,11:55:01.057975,success,
COV_R002,COV_R002,C002,2.0,2025-02-19,11:55:01.058265,success,
EX045_COV278,EX045_COV278,,,2025-02-19,11:55:01.058272,fail,Directory name translated to an invalid SubjectID
AA_4R248_L,AA_4R248_L,A248,5.0,2025-02-19,11:55:01.058255,success,
COV267,COV267,C267,1.0,2025-02-19,11:55:01.058598,success,
AA_3R503_L,AA_3R503_L,A503,4.0,2025-02-19,11:55:01.058419,success,
COV177,COV177,C177,1.0,2025-02-19,11:55:01.058738,success,
EX067_COV308,EX067_COV308,,,2025-02-19,11:55:01.058697,fail,Directory name translated to an invalid SubjectID
COV321,COV321,C321,1.0,2025-02-19,11:55:01.058831,success,
EX022_AA_3R317_L,EX022_AA_3R317_L,,,2025-02-19,11:55:01.058765,fail,Directory name translated to an invalid SubjectID
AA_4R141_L,AA_4R141_L,A141,5.0,2025-02-19,11:55:01.058759,success,
COV291,COV291,C291,1.0,2025-02-19,11:55:01.059531,success,
EX050_COV293,EX050_COV293,,,2025-02-19,11:55:01.059581,fail,Directory name translated to an invalid SubjectID
COV_R075,COV_R075,C075,2.0,2025-02-19,11:55:01.059729,success,
AA_3R429_L,AA_3R429_L,A429,4.0,2025-02-19,11:55:01.059675,success,
COV219,COV219,C219,1.0,2025-02-19,11:55:01.059406,success,
COV_R043,COV_R043,C043,2.0,2025-02-19,11:55:01.059466,success,
EX055_AA_3R176_L,EX055_AA_3R176_L,,,2025-02-19,11:55:01.059546,fail,Directory name translated to an invalid SubjectID
AA_4R143_L,AA_4R143_L,A143,5.0,2025-02-19,11:55:01.059501,success,
EX057_COV303,EX057_COV303,,,2025-02-19,11:55:01.059757,fail,Directory name translated to an invalid SubjectID
COV290,COV290,C290,1.0,2025-02-19,11:55:01.060000,success,
COV369,COV369,C369,1.0,2025-02-19,11:55:01.060203,success,
COV223,COV223,C223,1.0,2025-02-19,11:55:01.060145,success,
COV350,COV350,C350,1.0,2025-02-19,11:55:01.060357,success,
AAL_3R029,AAL_3R029,L029,3.0,2025-02-19,11:55:01.060400,success,
COV305,COV305,C305,1.0,2025-02-19,11:55:01.060802,success,
COV236,COV236,C236,1.0,2025-02-19,11:55:01.060764,success,
COV203,COV203,C203,1.0,2025-02-19,11:55:01.060058,success,
AA_3R152_L,AA_3R152_L,A152,4.0,2025-02-19,11:55:01.060775,success,
COV_R094,COV_R094,C094,2.0,2025-02-19,11:55:01.061554,success,
COV327,COV327,C327,1.0,2025-02-19,11:55:01.061384,success,
EX088_COV361,EX088_COV361,,,2025-02-19,11:55:01.061533,fail,Directory name translated to an invalid SubjectID
COV366,COV366,C366,1.0,2025-02-19,11:55:01.062056,success,
COV211,COV211,C211,1.0,2025-02-19,11:55:01.062272,success,
COV218,COV218,C218,1.0,2025-02-19,11:55:01.062197,success,
COV248,COV248,C248,1.0,2025-02-19,11:55:01.062533,success,
COV388,COV388,C388,1.0,2025-02-19,11:55:01.062457,success,
EX097_COV397,EX097_COV397,,,2025-02-19,11:55:01.063126,fail,Directory name translated to an invalid SubjectID
COV240,COV240,C240,1.0,2025-02-19,11:55:01.062763,success,
COV335,COV335,C335,1.0,2025-02-19,11:55:01.062099,success,
AAL_3R045,AAL_3R045,L045,3.0,2025-02-19,11:55:01.062760,success,
COV204,COV204,C204,1.0,2025-02-19,11:55:01.062991,success,
COV363,COV363,C363,1.0,2025-02-19,11:55:01.064274,success,
COV178,COV178,C178,1.0,2025-02-19,11:55:01.063441,success,
COV201,COV201,C201,1.0,2025-02-19,11:55:01.064487,success,
COV185,COV185,C185,1.0,2025-02-19,11:55:01.065499,success,
COV320,COV320,C320,1.0,2025-02-19,11:55:01.064729,success,
COV249,COV249,C249,1.0,2025-02-19,11:55:01.064773,success,
AA_4R086_L,AA_4R086_L,A086,5.0,2025-02-19,11:55:01.065184,success,
COV298,COV298,C298,1.0,2025-02-19,11:55:01.065736,success,
COV233,COV233,C233,1.0,2025-02-19,11:55:01.066081,success,
AA_R044_L,AA_R044_L,A044,3.0,2025-02-19,11:55:01.066230,success,
COV_R006,COV_R006,C006,2.0,2025-02-19,11:55:01.066444,success,
COV140,COV140,C140,1.0,2025-02-19,11:55:01.066827,success,
EX021_COV224,EX021_COV224,,,2025-02-19,11:55:01.067096,fail,Directory name translated to an invalid SubjectID
AA_3R457_L,AA_3R457_L,A457,4.0,2025-02-19,11:55:01.067493,success,
EX092_COV379,EX092_COV379,,,2025-02-19,11:55:01.067875,fail,Directory name translated to an invalid SubjectID
COV213,COV213,C213,1.0,2025-02-19,11:55:01.068179,success,
EX090_COV371,EX090_COV371,,,2025-02-19,11:55:01.068477,fail,Directory name translated to an invalid SubjectID
AA_4R267_L,AA_4R267_L,A267,5.0,2025-02-19,11:55:01.068498,success,
COV215,COV215,C215,1.0,2025-02-19,11:55:01.069390,success,
COV269,COV269,C269,1.0,2025-02-19,11:55:01.069555,success,
EX081_COV357,EX081_COV357,,,2025-02-19,11:55:01.069828,fail,Directory name translated to an invalid SubjectID
COV239,COV239,C239,1.0,2025-02-19,11:55:01.069850,success,
COV288,COV288,C288,1.0,2025-02-19,11:55:01.068952,success,
COV252,COV252,C252,1.0,2025-02-19,11:55:01.070072,success,
COV381,COV381,C381,1.0,2025-02-19,11:55:01.070501,success,
COV245,COV245,C245,1.0,2025-02-19,11:55:01.070542,success,
COV313,COV313,C313,1.0,2025-02-19,11:55:01.070737,success,
COV281,COV281,C281,1.0,2025-02-19,11:55:01.070230,success,
COV332,COV332,C332,1.0,2025-02-19,11:55:01.071211,success,
AA_R096_L,AA_R096_L,A096,3.0,2025-02-19,11:55:01.071448,success,
COV_R046,COV_R046,C046,2.0,2025-02-19,11:55:01.071602,success,
COV273,COV273,C273,1.0,2025-02-19,11:55:01.072872,success,
AA_5R205_L,AA_5R205_L,A205,6.0,2025-02-19,11:55:01.072031,success,
